,Target,Weight,Count,User Weight,User Score,Score Diff,Score Diff z-score
1862,Soredemo Sekai wa Utsukushii,0.11751046821469355,2,0.35253140464408067,8.0,-0.18599999999999994,-0.42936448902681723
1863,Soukou Kihei Votoms,0.011784511784511786,1,0.03535353535353536,8.0,-0.7710000000000008,-0.9287476589594028
1864,Soukyuu no Fafner: Dead Aggressor,0.1780382266814522,4,0.7857952546476278,9.0,0.8365000000000009,0.44348900029979543
1865,Soukyuu no Fafner: Right of Left - Single Program,0.008871989860583013,1,0.044359949302915064,10.0,1.6790000000000003,1.1626861296471498
1866,Soul Buster,0.12280701754385964,1,0.24561403508771928,7.0,-1.2110000000000003,-1.3043520944642526
1867,Soul Eater,3.454771727692583,22,7.817980439798061,7.318181818181818,-0.690999999999999,-0.8604559434130649
1868,Soul Eater NOT!,0.036107055961070555,2,0.18053527980535278,10.0,2.2039999999999997,1.610850512919982
1869,Soul Link,0.004229607250755287,1,0.008459214501510574,7.0,-1.6310000000000002,-1.6628836010825185
1870,Sounan Desu ka?,0.10851760851760851,2,0.4795249795249795,9.5,1.529,1.0346391629977687
1871,Souryo to Majiwaru Shikiyoku no Yoru ni...,0.014675052410901465,1,0.07337526205450733,10.0,1.4489999999999998,0.9663474474514323
1872,Sousei no Aquarion,0.017743979721166026,1,0.08871989860583013,10.0,1.6790000000000003,1.1626861296471498
1873,Sousei no Onmyouji,0.4651585027190635,16,1.0823982529317175,7.3125,-0.7234999999999978,-0.888199452853763
1874,Souten Kouro,0.004229607250755287,1,0.008459214501510574,7.0,-1.6310000000000002,-1.6628836010825185
1875,Space Cobra,0.011784511784511786,1,0.03535353535353536,8.0,-0.7710000000000008,-0.9287476589594028
1876,Space Pirate Captain Herlock: Outside Legend - The Endless Odyssey,0.011784511784511786,1,0.03535353535353536,8.0,-0.7710000000000008,-0.9287476589594028
1877,Space☆Dandy,0.41819672981418804,4,1.28967790874081,8.5,0.026500000000000412,-0.2479646196068609
1878,Space☆Dandy 2nd Season,0.44123970629994724,3,2.159060484361689,9.333333333333334,0.6256666666666675,0.2635118749537213
1879,Special A,0.06412213740458016,1,0.2564885496183206,9.0,0.7989999999999995,0.411477258637449
1880,Speed Grapher,0.21673543343038712,4,0.8582301326414569,8.5,0.07649999999999935,-0.20528229739040155
1881,Spiral: Suiri no Kizuna,0.09370005712326608,5,0.2976403889090511,8.4,0.11899999999999977,-0.16900232350640998
1882,Stand By Me Doraemon,0.03664921465968587,1,0.18324607329842935,10.0,1.0090000000000003,0.5907430119465827
1883,Star Driver: Kagayaki no Takuto,0.09938707434950406,3,0.20678330201708595,7.333333333333333,-0.044333333333334224,-0.30843124274684736
1884,Starry☆Sky,0.017857142857142853,1,0.035714285714285705,7.0,-0.641,-0.8177736211966055
1885,Steamboy,0.04697986577181208,1,0.14093959731543626,8.0,0.7489999999999997,0.36879493642098893
1886,Steins;Gate,9.500488739935548,27,36.74363306598023,8.74074074074074,0.5056666666666665,0.1610743016342159
1887,Steins;Gate 0,0.3493373223055736,5,1.5028261844803843,8.4,-0.026999999999999247,-0.29363470437847305
1888,Steins;Gate Movie: Fuka Ryouiki no Déjà vu,0.609039548022599,2,3.045197740112995,10.0,1.198999999999998,0.7529358363691298
1889,Steins;Gate: Oukoubakko no Poriomania,0.013779527559055118,1,0.0688976377952756,10.0,1.9489999999999998,1.3931706696160346
1890,Stella Jogakuin Koutou-ka C³-bu,0.060264741550923276,2,0.23549298675148161,8.5,0.6739999999999995,0.30477145309629844
1891,Strait Jacket,0.0166270783847981,1,0.0831353919239905,10.0,0.8190000000000008,0.4285501875240343
1892,Strange Dawn,0.14939288771194892,4,0.6803278850054562,8.5,0.5239999999999991,0.1767244864469174
1893,Stranger: Mukou Hadan,0.9483428465436714,6,3.2640282823051336,8.833333333333334,0.25400000000000134,-0.053760053521966014
1894,Strawberry Panic,0.013779527559055118,1,0.0688976377952756,10.0,1.9489999999999998,1.3931706696160346
1895,Strike Witches,0.04241310404914476,3,0.18897671911166142,9.0,0.602333333333334,0.24359345791937312
1896,Strike Witches 2,0.021645712488320243,2,0.1082285624416012,10.0,1.9190000000000005,1.367561276286159
1897,Strike the Blood,0.12997223914472172,4,0.22165623082871339,6.75,-0.9535,-1.084538135049482
1898,Strike the Blood IV,0.0374331550802139,1,0.0374331550802139,6.0,-1.4909999999999997,-1.5433730988764294
1899,Subarashiki Kono Sekai The Animation,0.1391172418242225,3,0.3912323224875929,7.666666666666667,-0.17433333333333323,-0.4194052805096431
1900,Subete ga F ni Naru,1.1433756402225224,6,3.431517134389721,8.333333333333334,-0.012666666666667936,-0.2813991053430895
1901,Sugar Sugar Rune,0.0072916666666666685,1,0.021875000000000006,8.0,-0.37100000000000044,-0.5872890812277205
1902,Suisei no Gargantia,0.24255987581652175,9,1.012424818152433,9.222222222222221,0.98122222222222,0.5670306107152138
1903,Sukitte Ii na yo.,0.395016213065732,6,1.2384728739017663,9.0,0.8389999999999986,0.44562311641061647
1904,Summer Wars,1.0999289989546588,5,2.321351837357689,7.8,-0.09900000000000109,-0.35509724837017737
1905,Sunabouzu,0.109006734006734,2,0.5214646464646464,9.0,0.7839999999999989,0.39867256197251044
1906,Super Cub,0.012773722627737228,1,0.06386861313868614,10.0,2.159,1.5724364229251677
1907,Super Dragon Ball Heroes,0.6363636363636365,1,2.545454545454546,9.0,0.9689999999999994,0.5565971541734138
1908,Superflat Monogram,0.12962962962962962,1,0.5185185185185185,9.0,0.9190000000000005,0.5139148319569544
1909,Supernatural The Animation,0.03954802259887005,1,0.03954802259887005,6.0,-1.561,-1.603128349979474
1910,"Susume, Karolina.",0.0330188679245283,1,0.1320754716981132,9.0,0.5790000000000006,0.22367504088502493
1911,Suzuka,0.1465339634033048,4,0.6237666336858597,8.75,0.44650000000000034,0.11056688701140506
1912,Suzumiya Haruhi no Shoushitsu,3.2569572839567904,14,14.232537369655262,9.642857142857142,1.1725714285714286,0.730375180340431
1913,Suzumiya Haruhi no Yuuutsu,2.7428729792456266,18,11.778985916558655,9.11111111111111,0.9434444444444434,0.534781745040556
1914,Suzumiya Haruhi no Yuuutsu (2009),0.11593048591117595,6,0.47864582915576015,9.166666666666666,0.8306666666666676,0.43850939604120837
